The desk,"English, Gujarati",Ketki Shah ,"Culture, Personal Development","This book is based solely on the thoughts of an author about socialism, way of living in the society, manner of act, her understanding about life, customs and relation of an almighty with the living soul, connection of natural world with the human life. It's a short narrative book of author's view on life; living; customs; society; connection with nature and god. It provides knowledge about living well in a society and opens up your eyes on issues where we just shut our ears and eyes and follow them without any logical thinking. Author has described her answers for some of this issues through her perception and also left some questions unanswerable for you to think about with your own perception. This book is based solely on the thoughts of an author about socialism, way of living in the society, manner of act, her understanding about life, customs and relation of an almighty with the living soul, connection of natural world with the human life. It's a short narrative book of author's view on life; living; customs; society; connection with nature and god. It provides knowledge about living well in a society and opens up your eyes on issues where we just shut our ears and eyes and follow them without any logical thinking. Author has described her answers for some of this issues through her perception and also left some questions unanswerable for you to think about with your own perception.
A short non-Fictionphilosophical self help journey which will make you think again before following blindly the ongoing customs of your society."
A Journey: Poems by Narendra Modi,"English, Gujarati", Narendra Modi,Poetry,"If you want to know a person's inner self, read their Poetry. Devotion, love and longing, all find expression in Narendra Modi's Poetry. Originally in Gujarati, this English translation transports us into the poet's mind-his voice, his vision and his thoughts, while the story of Mr. Modi's rise from a humble background to high political office is well-known, what is not well-known is his journey in verse. Now we know."
Jalebi Curls,"English, Gujarati", Niveditha Subramaniam,"Children's Literature, Literature, Fiction",The raja loves jalebis. He even dreams of them. Then the dream becomes a nightmare. The brief text of this mad little book is dramatically set off by illustrations that play with curls and colours. A Children’s Bookshelf Selection: Each month our editor’s pick the best books for children and young adults by age to be a part of the children’s bookshelf. These are editorial recommendations made by our team of experts. Our monthly reading list includes a mix of bestsellers and top new releases and evergreen books that will help enhance a child’s reading life.
One Life Is Not Enough,"English, Gujarati", K. Natwar Singh,"Literature, Personal Development","Natwar Singh joined the Indian Foreign Service and served as a bureaucrat for 31 years. He joined the Congress Party in 1984 and became a Minister of State in the then Prime Minister Rajiv Gandhi's council with the portfolios of steel, agriCulture and coal and mines in 1985. In this much-awaited autobiography, the former cabinet minister talks justly about his experiences and services in various ministries. Singh has played a significant role in Indian Politics for more than twenty years and has been a part of some of the most epochal events of independent India, including Indo-China talks and the formation of Bangladesh. In 2002, when the Congress party came back to power, Natwar Singh was appointed as the Minister for External Affairs. But his eventful career saw its end with the Volcker Report in the year 2005. His name appearing in the Iraqi food-for-oil scam forced him to resign from the cabinet and eventually from the Congress party. Singh talks about all these events and the ups and downs of the Congress party in One Life Is Not Enough, an account of an insider. His association with the party allowed him to observe some of the historical events closely and he talks about Pakistan in the 1980s, under the rule of President Zia-ul-Haq, Indo-Chinese and Indo-USSR relations among other sensitive developments."
Dosa,"English, Gujarati",Sandhya Rao,"Children's Literature, Literature, Fiction",Who ate the dosas? Amma makes dosas but they keep disappearing! A story in which children have the last laugh! They will also experience the fun and excitement of making the pictures move. There are instructions on how they can do that at the end of the book. A Children’s Bookshelf Selection: Each month our editor’s pick the best books for children and young adults by age to be a part of the children’s bookshelf. These are editorial recommendations made by our team of experts. Our monthly reading list includes a mix of bestsellers and top new releases and evergreen books that will help enhance a child’s reading life.
Deepak's Diwali,"English, Gujarati",Divya Karwal,"Children's Literature, Literature, Fiction","It's not shaping up to be a good Diwali so far: Dad has forgotten the sparklers, the fairy lights are broken, and, after hearing the story of Rama and Sita, Deepak is sure that Ravana the demon king is after him. Will Deepak's Diwali be a washout or will the family's celebration be rescued? Join Deepak and his family as they celebrate the festival of lights. Mantra Lingua's Celebration Series of dual language books explores the way people from different Culture's celebrate festivals around the world. Packed with recipes, facts, and activities, these beautifully illustrated books offer an invaluable insight into other Culture's and traditions. In the classroom, these titles can be used to introduce students to religious festivals and ceremonies that they may not be familiar with. At home, the Celebration Series is perfect for teaching young children about family celebrations."
Ali Baba and the Forty Thieves,"English, Gujarati",Enebor Attard,"Children's Literature, Literature, Fiction","In a village in the Arabian Desert, a band of knife-wielding thieves want revenge. In a secret cave, Ali Baba has stumbled across their stolen treasure and now the bloodthirsty bandits are on his trail. How will the poor woodcutter outwit forty thieves all on his own? Ali Baba is going to need luck on his side, either that, or the help of a very clever friend... Full of trickery, intrigue, and suspense, this captivating adaptation of the well-known medieval tale is sure to engross even the most reluctant readers. As well as encouraging younger readers to hone their sense of right and wrong, 'Ali Baba and the Forty Thieves' also offers scope for discussing themes such as Crime, justice and the significance of material goods. Richard Holland's ornate, Arabic-inspired collages and splashes of opulent colour enrich the vivid narrative and provide a creative platform for introducing children to Arabic Culture and art. Mantra Lingua's 'Folktales, Myths and Legends' collection of dual language books breathes new life into a selection of well-loved tales from around the world. Lively illustrations, delightful rhymes and ingenious twists mean that children and adults alike will love rediscovering these modern adaptations of classic stories. The titles in this collection have been specifically chosen to provide scope for exploring moral themes and Citizenship topics relevant to Key Stages 1 and 2. For more advanced readers, this collection also serves as an excellent introduction to the story telling tradition."
Dragon's Tears,"English, Gujarati",Manju Gregory,Fiction,"When Chun Li releases a golden fish, he is rewarded with the gift of a magic pearl. At first it brings Chun Li and his mother riches and good fortune but soon the power of the pearl begins to spiral out of control… This touching Chinese folk tale in dual language tells how the twenty four lakes of the river Min came to be named the Dragon's Tears. Manju Gregory's sensitive retelling of this famous legend offers a taste of the Chinese folk tradition. The easy-to-read narrative is enriched by Gua Le's lively Chinese brush art illustrations which make 'The Dragon's Tears' a useful resource for exploring Eastern art and Culture.Mantra Lingua's World Tales breathes new life into a selection of well-loved tales from around the world. Lively illustrations, delightful rhymes and ingenious twists mean that children and adults alike will love rediscovering these modern adaptations of classic stories. The titles in this collection have been specifically chosen to provide scope for exploring moral themes and Citizenship topics relevant to Key Stages 1 and 2. For more advanced readers, this collection also serves as an excellent introduction to the story telling tradition."
Ashoka,"English, Hindi",Meena Talim,"History, Children's Literature, Literature","A power-hungry warrior and a peace-loving wife - could they ever tread together on the path of non-violence? Ashoka waged war after ruthless war, yet by the time his children grew up, he proudly saw them off as Buddhist missionaries. Read of the charmed life of this famous king of Magadha, who not only built a prosperous kingdom but spread the message of universal love."
Chanakya Mantra,"English, Hindi",Ashwin Sanghi ,"History, Personal Development","The year is 340 BC. A hunted, haunted Brahmin youth vows revenge for the gruesome murder of his beloved father. Cold, calculating, cruel and armed with a complete absence of accepted morals, he becomes the most powerful political strategist in Bharat and succeeds in uniting a ragged country against the invasion of the army of that demigod, Alexander the Great. Pitting the weak edges of both forces against each other, he pulls off a wicked and astonishing victory and succeeds in installing Chandragupta on the throne of the mighty Mauryan empire. History knows him as the brilliant strategist Chanakya. Satisfied- and a little bored- by his success as a kingmaker, through the simple summoning of his gifted mind, he recedes into the shadows to write his Arthashastra, the 'science of wealth'. But History, which exults in repeating itself, revives Chanakya two and a half millennia later, in the avatar of Gangasagar Mishra, a Brahmin teacher in smalltown India who becomes puppeteer to a host of ambitious individuals- including a certain slumchild who grows up into a beautiful and powerful woman. Modern India happens to be just as riven as ancient Bharat by class hatred, corruption and divisive Politics and this landscape is Gangasagar's feasting ground. Can this wily pandit- who preys on greed, venality and sexual deviance- bring about another miracle of a united India?. Will Chanakya's chant work again?. Ashwin Sanghi, the bestselling author of The Rozabal Line, brings you yet another historical spinechiller."
